Year,Player,Rank,Position,Team,Points
2010,Tom Brady,1,QB,NE,100
2010,Peyton Manning,2,QB,IND,99
2010,Adrian Peterson,3,RB,MIN,98
2010,Ray Lewis,4,LB,BAL,97
2010,Ed Reed,5,S,BAL,96
2010,Troy Polamalu,6,S,PIT,95
2010,Andre Johnson,7,WR,HOU,94
2010,Darrelle Revis,8,CB,NYJ,93
2010,Drew Brees,9,QB,NOR,92
2010,Julius Peppers,10,DE,CHI,91
2010,Aaron Rodgers,11,QB,GB,90
2010,DeMarcus Ware,12,LB,DAL,89
2010,Chris Johnson,13,RB,TEN,88
2010,Larry Fitzgerald,14,WR,ARI,87
2010,Dwight Freeney,15,DE,IND,86
2010,Charles Woodson,16,CB,GB,85
2010,Haloti Ngata,17,DT,BAL,84
2010,Nnamdi Asomugha,18,CB,LV,83
2010,Clay Matthews,19,LB,GB,82
2010,Michael Vick,20,QB,PHI,81
2010,James Harrison,21,LB,PIT,80
2010,Antonio Gates,22,TE,LAC,79
2010,Patrick Willis,23,LB,SF,78
2010,Roddy White,24,WR,ATL,77
2010,Arian Foster,25,RB,HOU,76
2010,Philip Rivers,26,QB,LAC,75
2010,Calvin Johnson,27,WR,DET,74
2010,Jake Long,28,OT,MIA,73
2010,DeSean Jackson,29,WR,PHI,72
2010,Maurice Jones-Drew,30,RB,JAX,71
2010,Reggie Wayne,31,WR,IND,70
2010,Devin Hester,32,WR,CHI,69
2010,Jamaal Charles,33,RB,KC,68
2010,Jahri Evans,34,G,NOR,67
2010,Vince Wilfork,35,DT,NE,66
2010,Jason Witten,36,TE,DAL,65
2010,Jonathan Vilma,37,LB,NOR,64
2010,Steven Jackson,38,RB,LAR,63
2010,Logan Mankins,39,G,NE,62
2010,Terrell Suggs,40,LB,BAL,61
2010,Ben Roethlisberger,41,QB,PIT,60
2010,Michael Turner,42,RB,ATL,59
2010,Joe Thomas,43,OT,CLV,58
2010,Robert Mathis,44,DE,IND,57
2010,Dwayne Bowe,45,WR,KC,56
2010,Tony Gonzalez,46,TE,ATL,55
2010,Nick Mangold,47,C,NYJ,54
2010,Champ Bailey,48,CB,DEN,53
2010,Brian Urlacher,49,LB,CHI,52
2010,Wes Welker,50,WR,NE,51
2010,Ndamukong Suh,51,DT,DET,50
2010,Matt Ryan,52,QB,ATL,49
2010,Marques Colston,53,WR,NOR,48
2010,Asante Samuel,54,CB,PHI,47
2010,Carl Nicks,55,G,NOR,46
2010,Ray Rice,56,RB,BAL,45
2010,Andre Gurode,57,C,DAL,44
2010,Brandon Lloyd,58,WR,DEN,43
2010,Jeff Saturday,59,C,IND,42
2010,Justin Tuck,60,DE,NYG,41
2010,Brandon Marshall,61,WR,MIA,40
2010,Jerod Mayo,62,LB,NE,39
2010,Cameron Wake,63,DE,MIA,38
2010,Tamba Hali,64,DE,KC,37
2010,Vonta Leach,65,FB,HOU,36
2010,Richard Seymour,66,DT,LV,35
2010,Brian Waters,67,G,KC,34
2010,Antrel Rolle,68,S,NYG,33
2010,John Abraham,69,DE,ATL,32
2010,Miles Austin,70,WR,DAL,31
2010,Mario Williams,71,DE,HOU,30
2010,Tony Romo,72,QB,DAL,29
2010,Trent Cole,73,DE,PHI,28
2010,Greg Jennings,74,WR,GB,27
2010,Jay Ratliff,75,DT,DAL,26
2010,Santonio Holmes,76,WR,NYJ,25
2010,Chris Snee,77,G,NYG,24
2010,Dallas Clark,78,TE,IND,23
2010,D'Brickashaw Ferguson,79,OT,NYJ,22
2010,Jared Allen,80,DE,MIN,21
2010,B. J. Raji,81,DT,GB,20
2010,LaMarr Woodley,82,LB,PIT,19
2010,Mike Williams,83,WR,TB,18
2010,Josh Cribbs,84,WR,CLV,17
2010,Jason Babin,85,DE,TEN,16
2010,Josh Freeman,86,QB,TB,15
2010,Jordan Gross,87,OT,CAR,14
2010,Vernon Davis,88,TE,SF,13
2010,Adrian Wilson,89,S,ARI,12
2010,Joe Flacco,90,QB,BAL,11
2010,Terrell Owens,91,WR,CIN,10
2010,Lance Briggs,92,LB,CHI,9
2010,Eric Berry,93,S,KC,8
2010,Frank Gore,94,RB,SF,7
2010,Jon Beason,95,LB,CAR,6
2010,Nick Collins,96,S,GB,5
2010,Shaun Phillips,97,LB,LAC,4
2010,Darren McFadden,98,RB,LV,3
2010,Chad Clifton,99,OT,GB,2
2010,Donovan McNabb,100,QB,WAS,1
2011,Aaron Rodgers,1,QB,GB,100
2011,Drew Brees,2,QB,NOR,99
2011,Calvin Johnson,3,WR,DET,98
2011,Tom Brady,4,QB,NE,97
2011,Darrelle Revis,5,CB,NYJ,96
2011,DeMarcus Ware,6,LB,DAL,95
2011,Larry Fitzgerald,7,WR,ARI,94
2011,Adrian Peterson,8,RB,MIN,93
2011,Haloti Ngata,9,DT,BAL,92
2011,Patrick Willis,10,LB,SF,91
2011,Terrell Suggs,11,LB,BAL,90
2011,Maurice Jones-Drew,12,RB,JAX,89
2011,Jared Allen,13,DE,MIN,88
2011,Jimmy Graham,14,TE,NOR,87
2011,Andre Johnson,15,WR,HOU,86
2011,Ed Reed,16,S,BAL,85
2011,Justin Smith,17,DE,SF,84
2011,LeSean McCoy,18,RB,PHI,83
2011,Troy Polamalu,19,S,PIT,82
2011,Ray Lewis,20,LB,BAL,81
2011,Rob Gronkowski,21,TE,NE,80
2011,Ray Rice,22,RB,BAL,79
