Year,Player,Rank,Position,Team,Points,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV
2021,T. J. Watt,,LB,PIT,,1,0,0,0,7,2,0,0,0,0,15,53,43,10,23,41,,17
2021,Myles Garrett,,DE,CLE,,0,0,0,0,2,4,0,2,0,0,12,48,33,15,10,18,,14
2021,Khalil Mack,,DE,CHI,,1,33,0,33,3,3,0,2,0,0,9,50,29,21,11,13,1,13
2021,Za'Darius Smith,,DE,GB,,0,0,0,0,2,4,0,2,0,0,12.5,52,35,17,12,23,,13
2021,Trey Hendrickson,,DE,NOR,,0,0,0,0,1,1,0,0,0,0,13.5,25,22,3,12,25,,9
2021,Joey Bosa,,DE,LAC,,0,0,0,0,1,0,0,1,0,0,7.5,39,29,10,15,27,,9
2021,Aaron Donald,,DT,LAR,,0,0,0,0,1,4,0,1,0,0,13.5,45,27,18,14,28,,20
2021,DeForest Buckner,,DT,IND,,0,0,0,0,3,2,0,1,0,0,9.5,58,37,21,10,26,1,15
2021,Chris Jones,,DT,KC,,0,0,0,0,4,2,0,0,0,0,7.5,36,23,13,3,28,1,12
2021,Cameron Heyward,,DT,PIT,,0,0,0,3,0,0,0,0,0,0,4,54,30,24,7,19,,15
2021,Fred Warner,,LB,SF,,2,3,0,3,6,1,0,2,0,0,1,125,79,46,5,7,,19
2021,Bobby Wagner,,LB,SEA,,0,0,0,0,8,0,0,1,0,0,3,138,81,57,7,11,,12
2021,Darius Leonard,,LB,IND,,0,0,0,0,7,3,1,2,3,0,3,132,86,46,7,3,,14
2021,Roquan Smith,,LB,CHI,,2,16,0,11,7,1,1,1,0,0,4,139,98,41,18,6,,15
2021,Devin White,,LB,TB,,0,0,0,0,4,1,0,1,2,0,9,140,97,43,15,16,,15
2021,Demario Davis,,LB,NOR,,0,0,0,0,5,,,,,,4,119,73,46,10,12,,14
2021,Lavonte David,,LB,TB,,1,-5,0,-5,6,3,0,2,0,0,1.5,117,82,35,12,3,,15
2021,Xavien Howard,,CB,MIA,,10,77,0,29,20,1,0,0,0,0,0,51,40,11,1,0,,19
2021,Jalen Ramsey,,CB,LAR,,1,2,0,2,9,,,,,,0,44,36,8,2,1,,16
2021,Jaire Alexander,,CB,GB,,1,-4,0,-4,13,1,0,0,0,0,1,51,40,11,2,1,1,11
2021,Tre'Davious White,,CB,BUF,,3,28,0,28,11,1,0,2,-1,0,1.5,57,44,13,2,3,,11
2021,Tyrann Mathieu,,S,KC,,6,70,1,25,9,0,0,1,-2,0,0,62,48,14,3,2,,12
2021,Minkah Fitzpatrick,,S,PIT,,4,77,1,37,11,1,0,1,-1,0,0,79,60,19,1,0,,13
2021,Budda Baker,,S,ARI,,2,90,0,90,6,1,0,0,0,0,2,118,90,28,7,3,,1
2021,Jamal Adams,,S,SEA,,0,0,0,0,3,1,0,0,0,0,9.5,83,59,24,11,14,,9
2021,Jessie Bates,,S,CIN,,3,12,0,12,15,1,0,0,0,0,0,109,78,31,2,1,,10
