Year,Player,Rank,Position,Team,Points,Tgt,Rec,Rec Yds,Y/R,Rec TD,Rec 1D,Rec Lng,R/G,Y/G,Ctch%,Y/Tgt,Rush,Rush Yds,Rush TD,Rush 1D,Rush Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV
2020,Davante Adams,,WR,GB,,149,115,1374,11.9,18,73,56,8.2,98.1,0,9.2,,,,,,,,,115,11.9,1374,18,1,15
2020,Stefon Diggs,,WR,BUF,,166,127,1535,12.1,8,73,55,7.9,95.9,0,9.2,1,1,0,0,1,1,0.1,0.1,128,12,1536,8,0,16
2020,Tyreek Hill,,WR,KC,,135,87,1276,14.7,15,57,75,5.8,85.1,0,9.5,13,123,2,5,32,9.5,8.2,0.9,100,14,1399,17,1,12
2020,DeAndre Hopkins,,WR,ARI,,160,115,1407,12.2,6,75,60,7.2,87.9,0,8.8,1,1,0,0,1,1,0.1,0.1,116,12.1,1408,6,3,12
2020,Justin Jefferson,,WR,MIN,,125,88,1400,15.9,7,58,71,5.5,87.5,0,11.2,1,2,0,0,2,2,0.1,0.1,89,15.8,1402,7,1,12
2020,Calvin Ridley,,WR,ATL,,143,90,1374,15.3,9,65,63,6,91.6,0,9.6,5,1,0,1,8,0.2,0.1,0.3,95,14.5,1375,9,1,11
2020,D. K. Metcalf,,WR,SEA,,129,83,1303,15.7,10,63,62,5.2,81.4,0,10.1,,,,,,,,,83,15.7,1303,10,1,13
2020,Cole Beasley,,WR,BUF,,107,82,967,11.8,4,53,35,5.5,64.5,0,9,,,,,,,,,82,11.8,967,4,0,10
2020,Travis Kelce,,TE,KC,,145,105,1416,13.5,11,79,45,7,94.4,0,9.8,,,,,,,,,105,13.5,1416,11,1,13
2020,Darren Waller,,TE,LV,,145,107,1196,11.2,9,69,38,6.7,74.8,0,8.2,,,,,,,,,107,11.2,1196,9,2,11
2020,Derrick Henry,,RB,TEN,,31,19,114,6,0,4,53,1.2,7.1,0,3.7,378,2027,17,98,94,5.4,126.7,23.6,397,5.4,2141,17,3,17
2020,Dalvin Cook,,RB,MIN,,54,44,361,8.2,1,17,50,3.1,25.8,0,6.7,312,1557,16,91,70,5,111.2,22.3,356,5.4,1918,17,5,14
2020,Alvin Kamara,,RB,NOR,,107,83,756,9.1,5,35,52,5.5,50.4,0,7.1,187,932,16,58,49,5,62.1,12.5,270,6.3,1688,21,1,12
2020,Nick Chubb,,RB,CLE,,18,16,150,9.4,0,6,26,1.3,12.5,0,8.3,190,1067,12,56,59,5.6,88.9,15.8,206,5.9,1217,12,1,7
