Year,Player,Rank,Position,Team,Points,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV
2010,Julius Peppers,10,DE,CHI,91,2,1,0,1,9,3,0,0,0,0,8.0,54,43,11,11,18,0,18
2010,Dwight Freeney,15,DE,IND,86,0,0,0,0,2,5,0,0,0,0,10.0,25,21,4,8,19,0,9
2010,Robert Mathis,44,DE,IND,57,0,0,0,0,1,1,0,1,1,0,11.0,60,44,16,10,19,0,10
2010,Justin Tuck,60,DE,NYG,41,0,0,0,0,4,5,0,5,4,0,11.5,76,48,28,16,22,0,14
2010,Cameron Wake,63,DE,MIA,38,0,0,0,0,4,3,0,0,0,0,14.0,57,48,9,21,26,0,12
2010,Tamba Hali,64,DE,KC,37,0,0,0,0,3,4,0,2,2,0,14.5,52,37,15,12,27,0,9
2010,John Abraham,69,DE,ATL,32,1,6,0,6,4,1,0,0,0,0,13.0,41,36,5,18,17,0,16
2010,Mario Williams,71,DE,HOU,30,0,0,0,0,2,1,0,0,0,0,8.5,28,22,6,9,19,0,5
2010,Trent Cole,73,DE,PHI,28,0,0,0,0,2,1,0,0,0,0,10.0,65,50,15,16,19,0,7
2010,Jared Allen,80,DE,MIN,21,2,40,1,36,6,1,0,1,0,0,11.0,60,45,15,14,25,0,10
2010,Jason Babin,85,DE,TEN,16,0,0,0,0,0,2,0,0,0,0,12.5,58,44,14,16,27,0,10
2011,Jared Allen,13,DE,MIN,88,1,14,0,14,3,4,0,4,6,0,22.0,66,48,18,21,32,1,14
2011,Justin Smith,17,DE,SF,84,0,0,0,0,2,3,0,1,0,0,7.5,58,45,13,6,20,0,19
2011,Jason Pierre-Paul,24,DE,NYG,77,0,0,0,0,7,2,0,0,0,0,16.5,86,66,20,23,28,1,14
2011,Julius Peppers,26,DE,CHI,75,0,0,0,0,4,4,0,2,0,0,11.0,37,33,4,15,13,0,12
2011,Tamba Hali,34,DE,KC,67,0,0,0,0,0,4,0,0,0,0,12.0,66,48,18,12,27,0,11
2011,Jason Babin,44,DE,PHI,57,0,0,0,0,1,3,0,0,0,0,18.0,40,35,5,17,29,0,13
2011,Trent Cole,57,DE,PHI,44,0,0,0,0,1,1,0,0,0,0,11.0,44,41,3,14,17,0,7
2011,Justin Tuck,62,DE,NYG,39,0,0,0,0,3,1,0,0,0,0,5.0,37,27,10,6,11,0,5
2011,Elvis Dumervil,68,DE,DEN,33,0,0,0,0,1,0,0,1,0,0,9.5,42,31,11,10,19,0,8
2011,Chris Long,84,DE,LAR,17,0,0,0,0,2,1,0,0,0,0,13.0,37,31,6,15,21,0,7
2011,Dwight Freeney,89,DE,IND,12,0,0,0,0,0,2,0,0,0,0,8.5,19,13,6,7,19,0,8
2012,J. J. Watt,5,DE,HOU,96,0,0,0,0,16,4,0,2,7,0,20.5,81,69,12,39,43,0,19
2012,Justin Smith,29,DE,SF,72,0,0,0,0,2,0,0,1,0,0,3.0,66,47,19,9,10,0,13
2012,Julius Peppers,54,DE,CHI,47,0,0,0,0,2,1,0,4,6,0,11.5,39,32,7,13,15,0,17
2012,Jason Pierre-Paul,55,DE,NYG,46,1,28,1,28,5,1,0,1,10,0,6.5,66,43,23,13,10,0,9
2012,Jared Allen,60,DE,MIN,41,0,0,0,0,3,1,0,1,0,0,12.0,46,36,10,17,21,0,10
2012,Mario Williams,72,DE,BUF,29,0,0,0,0,4,2,0,2,0,0,10.5,46,37,9,12,15,0,7
2012,Robert Mathis,74,DE,IND,27,1,1,0,1,2,1,0,0,0,0,8.0,33,22,11,9,13,0,8
2012,Dwight Freeney,80,DE,IND,21,0,0,0,0,1,1,0,0,0,0,5.0,12,10,2,7,12,0,6
2013,J. J. Watt,12,DE,HOU,89,0,0,0,0,7,4,0,2,0,0,10.5,80,65,15,22,46,0,17
2013,Robert Quinn,13,DE,LAR,88,0,0,0,0,1,7,0,2,33,1,19.0,57,50,7,23,34,0,15
2013,Mario Williams,29,DE,BUF,72,0,0,0,0,3,1,0,0,0,0,13.0,38,28,10,15,16,0,13
2013,Muhammad Wilkerson,42,DE,NYJ,59,1,6,0,6,3,2,0,0,0,0,10.5,63,43,20,13,18,0,12
2013,Greg Hardy,53,DE,CAR,48,0,0,0,0,1,1,0,0,0,0,15.0,59,39,20,17,29,0,15
2013,Cameron Wake,66,DE,MIA,35,0,0,0,0,0,2,0,1,0,0,8.5,37,29,8,8,21,1,10
2013,Jared Allen,68,DE,MIN,33,0,0,0,0,6,2,0,0,0,0,11.5,52,33,19,13,26,0,6
2013,Justin Smith,69,DE,SF,32,0,0,0,0,0,1,0,0,0,0,6.5,49,32,17,9,16,0,14
2013,Cameron Jordan,99,DE,NOR,2,0,0,0,0,4,2,0,2,11,0,12.5,47,29,18,13,23,0,13
2014,J. J. Watt,1,DE,HOU,100,1,80,1,80,10,4,0,5,59,1,20.5,78,59,19,29,51,1,21
2014,Cameron Wake,39,DE,MIA,62,0,0,0,0,3,3,0,1,0,0,11.5,38,32,6,8,22,0,10
2014,Mario Williams,42,DE,BUF,59,0,0,0,0,2,2,0,0,0,0,14.5,42,36,6,19,18,0,18
2014,Robert Quinn,44,DE,LAR,57,0,0,0,0,6,5,0,0,0,0,10.5,46,39,7,13,20,0,11
2014,Sheldon Richardson,55,DE,NYJ,46,0,0,0,0,1,1,0,1,0,0,8.0,67,42,25,11,21,1,19
2014,Jerry Hughes,63,DE,BUF,38,0,0,0,0,0,3,0,1,18,1,10.0,53,36,17,13,20,0,10
2014,Muhammad Wilkerson,74,DE,NYJ,27,0,0,0,0,5,1,0,0,0,0,6.0,56,31,25,13,21,0,6
2014,Michael Bennett,90,DE,SEA,11,0,0,0,0,0,1,0,0,0,0,7.0,38,26,12,14,19,0,6
2014,Jurrell Casey,96,DE,TEN,5,0,0,0,0,0,0,0,0,0,0,5.0,68,46,22,13,18,0,7
2014,Calais Campbell,99,DE,ARI,2,1,23,0,23,3,1,0,0,0,0,7.0,58,48,10,16,11,0,15
2015,J.J. Watt,3,DE,HOU,98,0,0,0,0,8,3,0,1,0,0,17.5,76,57,19,29,50,0,19
2015,Khalil Mack,13,DE,LV,88,0,0,0,0,2,2,0,0,0,0,15.0,77,57,20,23,24,0,13
2015,Muhammad Wilkerson,39,DE,NYJ,62,0,0,0,0,7,3,0,0,0,0,12.0,64,39,25,11,28,0,16
2015,Ezekiel Ansah,43,DE,DET,58,0,0,0,0,1,4,0,2,1,0,14.5,47,39,8,15,34,0,12
2015,Chandler Jones,48,DE,NE,53,1,0,0,0,2,4,0,0,0,0,12.5,44,31,13,11,18,0,11
2015,Michael Bennett,59,DE,SEA,42,0,0,0,0,0,2,0,0,0,0,10.0,52,33,19,18,30,0,11
2015,Carlos Dunlap,70,DE,CIN,31,0,0,0,0,1,2,0,1,21,0,13.5,55,37,18,16,34,0,13
2015,Calais Campbell,71,DE,ARI,30,0,0,0,0,3,0,0,1,0,0,5.0,61,46,15,16,20,0,9
2015,Cameron Heyward,88,DE,PIT,13,0,0,0,0,2,1,0,0,0,0,7.0,54,39,15,15,13,0,9
2015,Cameron Jordan,99,DE,NOR,2,0,0,0,0,5,1,0,2,0,0,10.0,45,32,13,15,20,0,8
2016,Khalil Mack,5,DE,LV,96,1,6,1,6,3,5,0,3,1,0,11.0,73,54,19,14,26,0,15
2016,J.J. Watt,35,DE,HOU,66,0,0,0,0,0,0,0,1,0,0,1.5,8,1,7,1,5,0,2
2016,Michael Bennett,46,DE,SEA,55,0,0,0,0,0,0,0,0,0,0,5.0,34,24,10,14,19,0,8
2016,Jadeveon Clowney,49,DE,HOU,52,0,0,0,0,2,1,0,0,0,0,6.0,52,40,12,16,17,0,13
2016,Cliff Avril,56,DE,SEA,45,0,0,0,0,3,5,0,0,0,0,11.5,39,20,19,8,26,0,10
2016,Cameron Wake,62,DE,MIA,39,1,12,0,12,2,5,0,0,0,0,11.5,29,22,7,6,24,0,10
2016,Calais Campbell,83,DE,ARI,18,1,1,0,1,6,2,0,3,53,1,8.0,53,34,19,12,21,1,16
2016,Everson Griffen,92,DE,MIN,9,0,0,0,0,1,2,0,3,20,1,8.0,48,36,12,9,22,0,12
2016,Brandon Graham,93,DE,PHI,8,0,0,0,0,1,2,0,1,4,0,5.5,59,41,18,14,22,0,13
2016,Joey Bosa,100,DE,LAC,1,0,0,0,0,0,0,0,0,0,0,10.5,41,29,12,17,21,0,5
2017,Calais Campbell,14,DE,JAX,87,0,0,0,0,3,3,0,1,10,1,14.5,67,47,20,14,30,0,16
2017,Khalil Mack,16,DE,LV,85,0,0,0,0,3,1,0,1,0,0,10.5,78,61,17,15,22,0,11
2017,Everson Griffen,19,DE,MIN,82,0,0,0,0,1,3,0,0,0,0,13.0,45,31,14,12,25,0,15
2017,Cameron Jordan,26,DE,NOR,75,1,0,1,0,11,2,0,0,0,0,13.0,62,48,14,17,28,0,16
2017,Chandler Jones,28,DE,ARI,73,0,0,0,0,3,2,0,0,0,0,17.0,59,52,7,28,33,0,14
2017,Jadeveon Clowney,32,DE,HOU,69,0,0,0,0,2,2,0,3,71,1,9.5,59,41,18,21,21,0,10
2017,DeMarcus Lawrence,34,DE,DAL,67,0,0,0,0,1,4,0,2,0,0,14.5,58,35,23,14,26,0,14
2017,Joey Bosa,37,DE,LAC,64,0,0,0,0,1,4,0,1,0,0,12.5,70,54,16,11,21,0,12
2017,Cameron Heyward,48,DE,PIT,53,0,0,0,0,3,2,0,1,0,0,12.0,45,30,15,16,22,0,15
2017,Cameron Wake,74,DE,MIA,27,0,0,0,0,0,0,0,0,0,0,10.5,36,26,10,12,27,0,7
2017,Melvin Ingram,76,DE,LAC,25,0,0,0,0,1,1,0,2,39,1,10.5,56,43,13,17,25,0,13
2017,J. J. Watt,84,DE,HOU,17,0,0,0,0,2,0,0,0,0,0,0.0,15,11,4,3,5,0,2
2017,Bruce Irvin,85,DE,LV,16,0,0,0,0,3,4,0,0,0,0,8.0,58,38,20,14,12,0,7
2017,Yannick Ngakoue,88,DE,JAX,13,0,0,0,0,0,6,0,2,67,1,12.0,30,24,6,10,23,0,12
2017,Mike Daniels,93,DE,GB,8,0,0,0,0,0,1,0,0,0,0,5.0,49,34,15,10,14,0,8
2018,J.J. Watt,12,DE,HOU,89,0,0,0,0,4,7,0,0,0,0,16.0,61,47,14,18,25,0,16
2018,Akiem Hicks,39,DE,CHI,62,0,0,0,0,5,3,0,0,0,0,7.5,55,41,14,12,16,0,12
